,Entrez_Gene_Id,counts,Perc_Bi_Allelic
546,4967,3,0.0
547,221322,3,0.0
548,29947,3,0.0
549,3991,3,0.0
550,127795,3,0.0
551,3983,3,0.0
552,117532,3,0.0
553,1301,3,0.0
554,158471,3,0.0
555,778,3,0.0
556,11023,3,0.0
557,79744,3,0.0
558,773,3,0.0
559,84700,3,0.0
560,27328,3,0.0
561,23230,3,0.0
562,222537,3,0.0
563,50509,3,0.0
564,27295,3,0.0
565,440730,3,0.0
566,64746,3,0.0
567,23105,3,0.0
568,139170,3,0.0
569,84443,3,0.0
570,23598,3,0.0
571,341019,3,0.0
572,9201,3,0.0
573,1005,3,0.0
574,5063,3,0.0
575,4648,3,0.0
576,27152,3,0.0
577,139189,3,0.0
578,64714,3,0.0
579,55236,3,0.0
580,5335,3,0.0
581,221806,3,0.0
582,285313,3,0.0
583,7094,3,0.0
584,2972,3,0.0
585,11152,3,0.0
586,922,3,0.0
587,221400,3,0.0
588,1630,3,0.0
589,613,3,0.0
590,7694,3,0.0
591,1357,3,0.0
592,23140,3,0.0
593,64919,3,0.0
594,9914,3,0.0
595,57713,3,0.0
596,642612,3,0.0
597,9509,3,0.0
598,54768,3,0.0
599,91662,3,0.0
600,57689,3,0.0
601,124454,3,0.0
602,57673,3,0.0
603,100132406,3,0.0
604,81469,3,0.0
605,9790,3,0.0
606,8497,3,0.0
607,9826,3,0.0
608,3660,3,0.0
609,1282,3,0.0
610,4535,3,0.0
611,7409,3,0.0
612,1106,3,0.0
613,388939,3,0.0
614,23126,3,0.0
615,23086,3,0.0
616,158248,3,0.0
617,220965,3,0.0
618,93099,3,0.0
619,79648,3,0.0
620,89885,3,0.0
621,1114,3,0.0
622,259308,3,0.0
623,57101,3,0.0
624,26057,3,0.0
625,5232,3,0.0
626,5591,3,0.0
627,5256,3,0.0
628,93664,3,0.0
629,9705,3,0.0
630,5288,3,0.0
631,8031,3,0.0
632,55832,3,0.0
633,55584,3,0.0
634,286,3,0.0
635,56776,3,0.0
636,5593,3,0.0
637,317701,3,0.0
638,1523,3,0.0
639,389384,3,0.0
640,57626,3,0.0
641,774,3,0.0
642,10523,3,0.0
643,9037,3,0.0
644,81871,3,0.0
645,3482,3,0.0
646,3698,3,0.0
647,57642,3,0.0
648,284297,3,0.0
649,23223,3,0.0
650,23261,3,0.0
651,2741,3,0.0
652,7936,3,0.0
653,389840,3,0.0
654,4774,3,0.0
655,4916,3,0.0
656,4854,3,0.0
657,89910,3,0.0
658,862,3,0.0
659,5321,3,0.0
660,6707,3,0.0
661,10395,3,0.0
662,9439,3,0.0
663,138199,3,0.0
664,387267,3,0.0
665,4292,3,0.0
666,2891,3,0.0
667,150365,3,0.0
668,56157,3,0.0
669,7552,3,0.0
670,4308,3,0.0
671,2263,3,0.0
672,85290,3,0.0
673,80731,3,0.0
674,23373,3,0.0
675,54617,3,0.0
676,2813,3,0.0
677,30061,3,0.0
678,9583,3,0.0
679,1811,3,0.0
