,Run,Body_Site
7303,SRR1098192,Pancreas
7310,SRR1098361,Stomach
7316,SRR1098495,Stomach
7318,SRR1098543,Pancreas
7320,SRR1098588,Stomach
7326,SRR1098737,Liver
7331,SRR1098855,Stomach
7334,SRR1098928,Pancreas
7357,SRR1099499,Brain - Frontal Cortex (BA9)
7371,SRR1099833,Pancreas
7374,SRR1099905,Stomach
7392,SRR1100632,Stomach
7398,SRR1100776,Stomach
7399,SRR1100800,Pancreas
7409,SRR1095913,Liver
7423,SRR1096247,Stomach
7469,SRR1097320,Stomach
7479,SRR1097618,Stomach
7486,SRR1097777,Pancreas
7490,SRR1097883,Pancreas
7509,SRR1092937,Pancreas
7526,SRR1093340,Pancreas
7528,SRR1093390,Stomach
7530,SRR1093434,Pancreas
7533,SRR1093504,Stomach
7536,SRR1093577,Pancreas
7548,SRR1093861,Liver
7576,SRR1094555,Stomach
7587,SRR1095383,Liver
7588,SRR1095407,Pancreas
7591,SRR1095479,Pancreas
7598,SRR1095651,Pancreas
7610,SRR1090556,Liver
7630,SRR1091032,Pancreas
7634,SRR1091144,Pancreas
7643,SRR1091356,Stomach
7651,SRR1091548,Stomach
7664,SRR1091865,Liver
7675,SRR1092136,Stomach
7677,SRR1092184,Stomach
7681,SRR1092281,Stomach
7701,SRR1087728,Pancreas
7713,SRR1088068,Stomach
7715,SRR1088117,Stomach
7722,SRR1088291,Pancreas
7727,SRR1088413,Pancreas
7732,SRR1088537,Pancreas
7738,SRR1088680,Stomach
7742,SRR1088782,Stomach
7746,SRR1088878,Stomach
7765,SRR1089446,Liver
7768,SRR1089537,Pancreas
7774,SRR1089688,Pancreas
7776,SRR1089737,Stomach
7791,SRR1090095,Liver
7805,SRR1085450,Stomach
7807,SRR1085495,Brain - Frontal Cortex (BA9)
7827,SRR1085975,Brain - Cortex
7831,SRR1086070,Pancreas
7839,SRR1086256,Liver
7871,SRR1087007,Liver
7875,SRR1087101,Stomach
7884,SRR1087321,Liver
7900,SRR1082933,Stomach
7901,SRR1082957,Stomach
7909,SRR1083149,Stomach
7911,SRR1083191,Stomach
7914,SRR1083262,Stomach
7918,SRR1083360,Stomach
7920,SRR1083408,Stomach
7929,SRR1083632,Brain - Cortex
7944,SRR1083983,Liver
7955,SRR1084252,Stomach
7958,SRR1084323,Pancreas
7972,SRR1084649,Brain - Frontal Cortex (BA9)
7980,SRR1084842,Brain - Frontal Cortex (BA9)
7994,SRR1085187,Pancreas
7999,SRR1085310,Pancreas
8002,SRR1080624,Pancreas
8004,SRR1080672,Stomach
8022,SRR1081092,Stomach
8026,SRR1081184,Liver
8028,SRR1081235,Stomach
8029,SRR1081259,Pancreas
8049,SRR1081717,Stomach
8050,SRR1081741,Brain - Cortex
8058,SRR1081935,Stomach
8064,SRR1082080,Pancreas
8067,SRR1082151,Liver
8072,SRR1082262,Brain - Cortex
8084,SRR1082544,Pancreas
8121,SRR1078759,Stomach
8164,SRR1079754,Pancreas
8170,SRR1079900,Stomach
8180,SRR1080117,Liver
8188,SRR1080294,Liver
8201,SRR1075874,Stomach
8207,SRR1076022,Liver
8216,SRR1076244,Pancreas
8217,SRR1076268,Stomach
8223,SRR1076417,Stomach
8242,SRR1076868,Pancreas
8247,SRR1076990,Stomach
8263,SRR1077405,Brain - Frontal Cortex (BA9)
8292,SRR1078066,Pancreas
8293,SRR1078090,Stomach
8301,SRR1073435,Liver
8302,SRR1073459,Stomach
8321,SRR1073991,Pancreas
8324,SRR1074066,Stomach
8325,SRR1074090,Pancreas
8337,SRR1074385,Pancreas
8368,SRR1075102,Liver
8371,SRR1075174,Pancreas
8378,SRR1075336,Pancreas
8398,SRR1075804,Liver
8422,SRR1071519,Pancreas
8428,SRR1071668,Liver
8432,SRR1071761,Stomach
